Entry point: 0x41
addr=00000000 filesz=373 memsz=373
Loading segment 0 addr=0x0 filesz=883 memsz=883
flash
Initial SP: 0x20001000
Reset PC : 0x40
PC: 0: instruction: 1000
PC: 2: instruction: 2000
PC: 4: instruction: 41
PC: 6: instruction: 0
PC: 8: instruction: 9d
PC: 10: instruction: 0
PC: 12: instruction: 9d
PC: 14: instruction: 0
PC: 16: instruction: 0
PC: 18: instruction: 0
PC: 20: instruction: 0
PC: 22: instruction: 0
PC: 24: instruction: 0
PC: 26: instruction: 0
PC: 28: instruction: 0
PC: 30: instruction: 0
PC: 32: instruction: 0
PC: 34: instruction: 0
PC: 36: instruction: 0
PC: 38: instruction: 0
PC: 40: instruction: 0
PC: 42: instruction: 0
PC: 44: instruction: a3
PC: 46: instruction: 0
PC: 48: instruction: 0
PC: 50: instruction: 0
PC: 52: instruction: 0
PC: 54: instruction: 0
PC: 56: instruction: b9
PC: 58: instruction: 0
PC: 60: instruction: bf
PC: 62: instruction: 0
PC: 64: instruction: b580
PC: 66: instruction: b082
PC: 68: instruction: af00
PC: 70: instruction: 4b10
PC: 72: instruction: 607b
PC: 74: instruction: 4b10
PC: 76: instruction: 603b
PC: 78: instruction: e007
PC: 80: instruction: 687a
PC: 82: instruction: 1d13
PC: 84: instruction: 607b
PC: 86: instruction: 683b
PC: 88: instruction: 1d19
PC: 90: instruction: 6039
PC: 92: instruction: 6812
PC: 94: instruction: 601a
PC: 96: instruction: 683a
PC: 98: instruction: 4b0b
PC: 100: instruction: 429a
PC: 102: instruction: d3f3
PC: 104: instruction: 4b0a
PC: 106: instruction: 603b
PC: 108: instruction: e004
PC: 110: instruction: 683b
PC: 112: instruction: 1d1a
PC: 114: instruction: 603a
PC: 116: instruction: 2200
PC: 118: instruction: 601a
PC: 120: instruction: 683a
PC: 122: instruction: 4b07
PC: 124: instruction: 429a
PC: 126: instruction: d3f6
PC: 128: instruction: f000
PC: 130: instruction: f93e
PC: 132: instruction: e7fe
PC: 134: instruction: 46c0
PC: 136: instruction: 373
PC: 138: instruction: 0
PC: 140: instruction: 0
PC: 142: instruction: 2000
PC: 144: instruction: 0
PC: 146: instruction: 2000
PC: 148: instruction: 0
PC: 150: instruction: 2000
PC: 152: instruction: 0
PC: 154: instruction: 2000
PC: 156: instruction: b580
PC: 158: instruction: af00
PC: 160: instruction: e7fe
PC: 162: instruction: b580
PC: 164: instruction: af00
PC: 166: instruction: 2380
PC: 168: instruction: 5db
PC: 170: instruction: 2240
PC: 172: instruction: 601a
